run,total,new,disapp,trg_start,last_sb_stop,last_go_ready
553100,7787,158,1000,"19/06/2024, 18:43:17","19/06/2024, 18:29:32","19/06/2024, 17:54:10"
553120,7711,331,407,"20/06/2024, 02:10:36","20/06/2024, 02:04:33","19/06/2024, 21:36:14"
553133,7625,325,411,"20/06/2024, 06:17:26","20/06/2024, 06:11:13","20/06/2024, 03:50:53"
553154,8080,748,293,"20/06/2024, 13:47:53","20/06/2024, 13:43:19","20/06/2024, 08:49:11"
553235,0,0,0,"22/06/2024, 11:43:54","22/06/2024, 11:38:38","21/06/2024, 21:36:08"
553259,7749,584,331,"22/06/2024, 18:30:10","22/06/2024, 18:21:04","22/06/2024, 16:59:21"
553278,7786,326,289,"23/06/2024, 02:22:15","23/06/2024, 02:14:54","23/06/2024, 00:35:04"
553314,7575,285,496,"24/06/2024, 07:52:36","24/06/2024, 07:45:07","23/06/2024, 14:56:30"
553422,8382,1008,201,"25/06/2024, 21:09:32","24/06/2024, 07:45:07","25/06/2024, 21:02:46"
553490,8014,227,595,"27/06/2024, 18:53:29","27/06/2024, 18:44:44","27/06/2024, 18:50:07"
553521,7858,317,473,"29/06/2024, 04:57:12","29/06/2024, 04:30:07","29/06/2024, 01:51:58"
553542,7732,294,420,"29/06/2024, 21:15:12","29/06/2024, 20:51:49","29/06/2024, 15:33:40"
553571,7760,342,314,"30/06/2024, 19:16:57","30/06/2024, 19:11:25","30/06/2024, 04:22:59"
553595,7735,326,351,"01/07/2024, 02:25:33","01/07/2024, 02:05:44","30/06/2024, 21:28:50"
553616,7560,282,457,"01/07/2024, 11:53:58","01/07/2024, 11:44:16","01/07/2024, 09:19:38"
553640,7744,483,299,"01/07/2024, 21:26:52","01/07/2024, 21:18:49","01/07/2024, 16:33:17"
553670,7743,401,402,"02/07/2024, 15:15:37","02/07/2024, 15:09:49","02/07/2024, 08:29:04"
553686,7852,412,303,"03/07/2024, 00:29:07","03/07/2024, 00:19:32","02/07/2024, 23:46:07"
553714,7758,294,388,"03/07/2024, 14:43:22","03/07/2024, 14:35:32","03/07/2024, 03:20:22"
553718,8223,682,217,"03/07/2024, 15:03:23","03/07/2024, 14:35:32","03/07/2024, 15:00:34"
